Target Sample Library lib_type seq_reads_se seq_trash_se seq_trash_se_frac seq_retained_reads seq_retained_nts seq_retained_length hits_raw.endogenous. hits_raw_frac.endogenous. hits_clonality.endogenous. hits_unique.endogenous. hits_unique_frac.endogenous. hits_coverage.endogenous. hits_length.endogenous. ratio_reads.nuc.mito. ratio_genome.mito.nuc. ratio_genome.nuc.mito. hits_raw.mitochondrial. hits_raw_frac.mitochondrial. hits_clonality.mitochondrial. hits_unique.mitochondrial. hits_unique_frac.mitochondrial. hits_coverage.mitochondrial. hits_length.mitochondrial. hits_raw.nuclear. hits_raw_frac.nuclear. hits_clonality.nuclear. hits_unique.nuclear. hits_unique_frac.nuclear. hits_coverage.nuclear. hits_length.nuclear. Bases_covered Bases_covered_fraction
MA2384 CGG_2_020838 * SE 10249380 697526 0.068055433597 9551854 613187626 64.1956656791 961406 0.100651245298 0.00975550391822 952027 0.0996693416796 0.0197538232131 65.0936675115 161.767481621 2288.23309475 0.000437018414905 6715 0.000703004882612 0.128965003723 5849 0.000612341855309 22.465029268 63.6464352881 954691 0.0999482404149 0.00891702131894 946178 0.0990569998243 0.019635262963 65.1026138845 60392277 0.019250714554147
MA2384 CGG_2_020838 MN00021 SE 10249380 697526 0.068055433597 9551854 613187626 64.1956656791 961406 0.100651245298 0.00975550391822 952027 0.0996693416796 0.0197538232131 65.0936675115 161.767481621 2288.23309475 0.000437018414905 6715 0.000703004882612 0.128965003723 5849 0.000612341855309 22.465029268 63.6464352881 954691 0.0999482404149 0.00891702131894 946178 0.0990569998243 0.019635262963 65.1026138845 60392277 0.019250714554147
MA2385 * * SE 4836647 512023 0.105863214744 4324624 269316518 62.2751291211 93506 0.0216217641117 0.00582850298377 92961 0.0214957415951 0.00186257750504 62.8565312335 95.4325726141 4100.70819931 0.000243860316657 988 0.00022845916778 0.0242914979757 964 0.000222909552368 3.77804598395 64.9439834025 92518 0.021393304944 0.00563133660477 91997 0.0212728320427 0.00184263097998 62.8346576519 5743420 0.00183077943864542
MA2385 CGG_2_020839 * SE 4836647 512023 0.105863214744 4324624 269316518 62.2751291211 93506 0.0216217641117 0.00582850298377 92961 0.0214957415951 0.00186257750504 62.8565312335 95.4325726141 4100.70819931 0.000243860316657 988 0.00022845916778 0.0242914979757 964 0.000222909552368 3.77804598395 64.9439834025 92518 0.021393304944 0.00563133660477 91997 0.0212728320427 0.00184263097998 62.8346576519 5743420 0.00183077943864542
MA2385 CGG_2_020839 MN00022 SE 4836647 512023 0.105863214744 4324624 269316518 62.2751291211 93506 0.0216217641117 0.00582850298377 92961 0.0214957415951 0.00186257750504 62.8565312335 95.4325726141 4100.70819931 0.000243860316657 988 0.00022845916778 0.0242914979757 964 0.000222909552368 3.77804598395 64.9439834025 92518 0.021393304944 0.00563133660477 91997 0.0212728320427 0.00184263097998 62.8346576519 5743420 0.00183077943864542
MA2386 * * SE 2803388 172202 0.0614263883558 2631186 157221929 59.7532553761 9749 0.00370517325647 0.0101548876808 9650 0.00366754763821 0.000189013235247 61.4471502591 18.416498994 20612.3939565 4.85145006501e-05 510 0.000193828942538 0.0254901960784 497 0.000188888204787 1.84744433046 61.5975855131 9239 0.00351134431393 0.00930836670635 9153 0.00347865943343 0.000179255678342 61.4389817546 557487 0.000177705223875691
MA2386 CGG_2_020840 * SE 2803388 172202 0.0614263883558 2631186 157221929 59.7532553761 9749 0.00370517325647 0.0101548876808 9650 0.00366754763821 0.000189013235247 61.4471502591 18.416498994 20612.3939565 4.85145006501e-05 510 0.000193828942538 0.0254901960784 497 0.000188888204787 1.84744433046 61.5975855131 9239 0.00351134431393 0.00930836670635 9153 0.00347865943343 0.000179255678342 61.4389817546 557487 0.000177705223875691
MA2386 CGG_2_020840 MN00023 SE 2803388 172202 0.0614263883558 2631186 157221929 59.7532553761 9749 0.00370517325647 0.0101548876808 9650 0.00366754763821 0.000189013235247 61.4471502591 18.416498994 20612.3939565 4.85145006501e-05 510 0.000193828942538 0.0254901960784 497 0.000188888204787 1.84744433046 61.5975855131 9239 0.00351134431393 0.00930836670635 9153 0.00347865943343 0.000179255678342 61.4389817546 557487 0.000177705223875691
MA2387 * * SE 9916130 2263792 0.228293900947 7652338 397786991 51.9824125646 409500 0.0535130570552 0.00959706959707 405570 0.0529994885223 0.00702458118838 54.3364745913 216.931219774 1754.46118779 0.000569975561134 1954 0.000255346797279 0.0475946775844 1861 0.000243193648791 6.13378794279 54.6174099946 407546 0.053257710258 0.00941488813533 403709 0.0527562948735 0.00699221844913 54.3351795476 21731912 0.00692729029951696
MA2387 CGG_2_020841 * SE 9916130 2263792 0.228293900947 7652338 397786991 51.9824125646 409500 0.0535130570552 0.00959706959707 405570 0.0529994885223 0.00702458118838 54.3364745913 216.931219774 1754.46118779 0.000569975561134 1954 0.000255346797279 0.0475946775844 1861 0.000243193648791 6.13378794279 54.6174099946 407546 0.053257710258 0.00941488813533 403709 0.0527562948735 0.00699221844913 54.3351795476 21731912 0.00692729029951696
MA2387 CGG_2_020841 MN0003 SE 9916130 2263792 0.228293900947 7652338 397786991 51.9824125646 409500 0.0535130570552 0.00959706959707 405570 0.0529994885223 0.00702458118838 54.3364745913 216.931219774 1754.46118779 0.000569975561134 1954 0.000255346797279 0.0475946775844 1861 0.000243193648791 6.13378794279 54.6174099946 407546 0.053257710258 0.00941488813533 403709 0.0527562948735 0.00699221844913 54.3351795476 21731912 0.00692729029951696
MA2388 * * SE 30507663 3054971 0.100137824389 27452692 1656323759 60.3337464683 116373 0.00423903783279 0.00736425115791 115516 0.00420782049352 0.00246946852522 67.0653502545 71.0623830318 5397.82907194 0.000185259663963 1666 6.06862161277e-05 0.0378151260504 1603 5.83913592153e-05 6.57123891135 67.9301310044 114707 0.00417835161666 0.00692198383708 113913 0.00414942913431 0.00243477102508 67.0531809363 7572069 0.00241368178423385
MA2388 CGG_2_020842 * SE 30507663 3054971 0.100137824389 27452692 1656323759 60.3337464683 116373 0.00423903783279 0.00736425115791 115516 0.00420782049352 0.00246946852522 67.0653502545 71.0623830318 5397.82907194 0.000185259663963 1666 6.06862161277e-05 0.0378151260504 1603 5.83913592153e-05 6.57123891135 67.9301310044 114707 0.00417835161666 0.00692198383708 113913 0.00414942913431 0.00243477102508 67.0531809363 7572069 0.00241368178423385
MA2388 CGG_2_020842 MN00039 SE 30507663 3054971 0.100137824389 27452692 1656323759 60.3337464683 116373 0.00423903783279 0.00736425115791 115516 0.00420782049352 0.00246946852522 67.0653502545 71.0623830318 5397.82907194 0.000185259663963 1666 6.06862161277e-05 0.0378151260504 1603 5.83913592153e-05 6.57123891135 67.9301310044 114707 0.00417835161666 0.00692198383708 113913 0.00414942913431 0.00243477102508 67.0531809363 7572069 0.00241368178423385
MA2389 * * SE 11874456 2041726 0.171942697838 9832730 568421985 57.8091725289 315799 0.0321171231184 0.012998774537 311694 0.0316996398762 0.00528177342687 53.1603912812 63.9904086739 6881.42680109 0.000145318700453 5280 0.00053698209958 0.0916666666667 4796 0.000487758740452 17.848771951 61.670558799 310519 0.0315801410188 0.0116611221858 306898 0.0312118811358 0.00518752068922 53.0273999831 16047526 0.00511532860942222
MA2389 CGG_2_020843 * SE 11874456 2041726 0.171942697838 9832730 568421985 57.8091725289 315799 0.0321171231184 0.012998774537 311694 0.0316996398762 0.00528177342687 53.1603912812 63.9904086739 6881.42680109 0.000145318700453 5280 0.00053698209958 0.0916666666667 4796 0.000487758740452 17.848771951 61.670558799 310519 0.0315801410188 0.0116611221858 306898 0.0312118811358 0.00518752068922 53.0273999831 16047526 0.00511532860942222
